ts_utc,bmp_tempC_mean,bmp_pressurePa_mean,bmp_pressure_hPa,smq_tempC_interp,smq_mslp_hPa_interp,temp_diff_C,pressure_diff_hPa,session,run_label,run_date
2026-03-16 01:10:00+00:00,25.14029,102291.117,1022.91117,5.712962962962963,1023.7316666666666,19.42732703703704,-0.8204966666665996,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 01:20:00+00:00,25.17605,102258.049,1022.5804899999999,5.805555555555555,1023.5149999999999,19.370494444444446,-0.934509999999932,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 01:30:00+00:00,25.26331111111111,102228.54,1022.2854,5.898148148148149,1023.2983333333333,19.365162962962962,-1.012933333333308,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 01:40:00+00:00,25.23711,102217.194,1022.1719400000001,5.990740740740741,1023.0816666666666,19.24636925925926,-0.9097266666665291,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 01:50:00+00:00,25.21594,102201.46,1022.0146000000001,6.083333333333334,1022.865,19.132606666666668,-0.8503999999999223,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 02:00:00+00:00,25.17675,102165.905,1021.65905,6.1759259259259265,1022.625,19.00082407407407,-0.9659500000000207,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 02:10:00+00:00,25.13926,102142.809,1021.4280899999999,6.268518518518519,1022.375,18.87074148148148,-0.9469100000001163,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 02:20:00+00:00,25.11236,102125.765,1021.25765,6.361111111111112,1022.125,18.751248888888888,-0.8673499999999876,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 02:30:00+00:00,25.14053,102102.96,1021.0296000000001,6.453703703703704,1021.875,18.686826296296296,-0.8453999999999269,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 02:40:00+00:00,25.168144444444444,102078.6488888889,1020.786488888889,6.546296296296297,1021.625,18.621848148148146,-0.8385111111109609,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 02:50:00+00:00,25.14482,102046.58,1020.4658000000001,6.638888888888889,1021.375,18.50593111111111,-0.9091999999999416,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 03:00:00+00:00,25.10974,102019.692,1020.19692,6.666666666666667,1021.0783333333333,18.44307333333333,-0.8814133333332848,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 03:10:00+00:00,25.07035,101993.098,1019.93098,6.840958605664488,1020.7616666666667,18.229391394335515,-0.8306866666666792,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 03:20:00+00:00,25.003,101931.476,1019.31476,7.058823529411765,1020.4449999999999,17.944176470588236,-1.130239999999958,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 03:30:00+00:00,25.2796,101898.773,1018.98773,7.276688453159042,1020.1283333333333,18.002911546840956,-1.1406033333332743,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 03:40:00+00:00,25.46798,101870.634,1018.7063400000001,7.494553376906318,1019.8116666666666,17.973426623093683,-1.1053266666665422,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 03:50:00+00:00,25.62318888888889,101824.61555555556,1018.2461555555556,7.712418300653596,1019.495,17.910770588235295,-1.248844444444444,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 04:00:00+00:00,25.65097,101799.556,1017.99556,7.777777777777779,1019.2133333333333,17.873192222222222,-1.217773333333298,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 04:10:00+00:00,25.69438,101777.193,1017.77193,7.777777777777779,1018.9466666666666,17.91660222222222,-1.174736666666604,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 04:20:00+00:00,25.72678,101734.831,1017.3483100000001,7.777777777777779,1018.68,17.949002222222223,-1.3316899999998668,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 04:30:00+00:00,25.91976,101707.038,1017.07038,7.777777777777779,1018.4133333333333,18.14198222222222,-1.3429533333332984,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 04:40:00+00:00,25.8438,101707.962,1017.07962,7.777777777777779,1018.1466666666666,18.066022222222223,-1.0670466666666698,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 04:50:00+00:00,25.57084,101681.647,1016.81647,7.777777777777779,1017.88,17.793062222222222,-1.0635300000000143,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 05:00:00+00:00,25.42962,101636.751,1016.36751,7.911877394636016,1017.5316666666666,17.517742605363985,-1.1641566666665994,39,Run 3 (2026-03-11),2026-03-11
